pickup_zone,borough,pickup_count,avg_fare,zone_category
Upper East Side South,Manhattan,996102,32.95,"Premium Zone (High demand, High fare)"
Lincoln Square East,Manhattan,781903,32.80,"Premium Zone (High demand, High fare)"
Meatpacking/West Village West,Manhattan,698798,32.43,"Premium Zone (High demand, High fare)"
Union Sq,Manhattan,1260030,32.35,"Premium Zone (High demand, High fare)"
Clinton East,Manhattan,1147735,32.23,"Premium Zone (High demand, High fare)"
SoHo,Manhattan,668114,31.97,"Premium Zone (High demand, High fare)"
Murray Hill,Manhattan,1061925,31.36,"Premium Zone (High demand, High fare)"
Upper East Side North,Manhattan,850981,31.27,"Premium Zone (High demand, High fare)"
Upper West Side South,Manhattan,730227,30.96,"Premium Zone (High demand, High fare)"
Flatiron,Manhattan,792157,30.80,"Premium Zone (High demand, High fare)"
Little Italy/NoLiTa,Manhattan,813155,30.47,"Premium Zone (High demand, High fare)"
Greenwich Village South,Manhattan,732427,30.29,"Premium Zone (High demand, High fare)"
Brooklyn Heights,Brooklyn,571702,30.18,"Premium Zone (High demand, High fare)"
Greenwich Village North,Manhattan,702334,30.10,"Premium Zone (High demand, High fare)"
Sutton Place/Turtle Bay North,Manhattan,682030,30.01,"Premium Zone (High demand, High fare)"
West Village,Manhattan,1058214,29.96,"Premium Zone (High demand, High fare)"
Lower East Side,Manhattan,1193789,29.60,"Premium Zone (High demand, High fare)"
UN/Turtle Bay South,Manhattan,652210,29.51,"Premium Zone (High demand, High fare)"
Lenox Hill East,Manhattan,692292,29.51,"Premium Zone (High demand, High fare)"
DUMBO/Vinegar Hill,Brooklyn,451225,29.19,"Premium Zone (High demand, High fare)"
Gramercy,Manhattan,884063,28.97,"Premium Zone (High demand, High fare)"
Upper West Side North,Manhattan,598158,28.85,"Premium Zone (High demand, High fare)"
Lenox Hill West,Manhattan,774699,28.84,"Premium Zone (High demand, High fare)"
Clinton West,Manhattan,639127,28.60,"Premium Zone (High demand, High fare)"
Yorkville West,Manhattan,639534,28.50,"Premium Zone (High demand, High fare)"
Lincoln Square West,Manhattan,597524,28.49,"Premium Zone (High demand, High fare)"
Yorkville East,Manhattan,422002,28.01,"Premium Zone (High demand, High fare)"
East Village,Manhattan,1465323,27.79,"Premium Zone (High demand, High fare)"
Downtown Brooklyn/MetroTech,Brooklyn,558177,27.63,"Premium Zone (High demand, High fare)"
Boerum Hill,Brooklyn,710020,27.28,"Premium Zone (High demand, High fare)"
Williamsburg (North Side),Brooklyn,1209754,27.14,"Premium Zone (High demand, High fare)"
Two Bridges/Seward Park,Manhattan,508510,26.94,"Premium Zone (High demand, High fare)"
Kips Bay,Manhattan,628315,26.36,"Premium Zone (High demand, High fare)"
Morningside Heights,Manhattan,506282,25.95,"Premium Zone (High demand, High fare)"
Williamsburg (South Side),Brooklyn,1016837,25.35,"Premium Zone (High demand, High fare)"
Fort Greene,Brooklyn,791693,24.80,"Premium Zone (High demand, High fare)"
Park Slope,Brooklyn,1190109,24.77,"Premium Zone (High demand, High fare)"
Prospect Heights,Brooklyn,447273,24.65,"Premium Zone (High demand, High fare)"
East Harlem South,Manhattan,751047,24.35,"Premium Zone (High demand, High fare)"
Greenpoint,Brooklyn,1173644,24.26,"Premium Zone (High demand, High fare)"
Long Island City/Hunters Point,Queens,1011094,23.80,"Premium Zone (High demand, High fare)"
Clinton Hill,Brooklyn,738142,23.71,"Premium Zone (High demand, High fare)"
East Williamsburg,Brooklyn,936915,23.59,"Premium Zone (High demand, High fare)"
Washington Heights South,Manhattan,920300,23.54,"Premium Zone (High demand, High fare)"
Flushing,Queens,634113,23.41,"Premium Zone (High demand, High fare)"
Sunset Park West,Brooklyn,609545,23.29,"Premium Zone (High demand, High fare)"
Washington Heights North,Manhattan,656317,23.19,"Premium Zone (High demand, High fare)"
Bushwick South,Brooklyn,1325531,22.53,"Premium Zone (High demand, High fare)"
Bay Ridge,Brooklyn,666444,22.28,"Premium Zone (High demand, High fare)"
Stuyvesant Heights,Brooklyn,959980,22.27,"Premium Zone (High demand, High fare)"
Bushwick North,Brooklyn,976461,22.23,"Saturated (High demand, Low fare)"
Central Harlem,Manhattan,788533,22.23,"Saturated (High demand, Low fare)"
Marine Park/Mill Basin,Brooklyn,334830,22.21,"Low Priority (Low demand, Low fare)"
Jamaica Estates,Queens,191220,22.20,"Low Priority (Low demand, Low fare)"
Kew Gardens Hills,Queens,218560,22.17,"Low Priority (Low demand, Low fare)"
Highbridge Park,Manhattan,11306,22.17,"Low Priority (Low demand, Low fare)"
Hamilton Heights,Manhattan,543904,22.14,"Saturated (High demand, Low fare)"
Hillcrest/Pomonok,Queens,274669,22.13,"Low Priority (Low demand, Low fare)"
Pelham Bay Park,Bronx,28648,21.99,"Low Priority (Low demand, Low fare)"
Queensbridge/Ravenswood,Queens,188418,21.93,"Low Priority (Low demand, Low fare)"
